country,year,sex,list,agf,cause,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
RUS,1965,1,short,1,0,39922,1710,904,739,1450,2477,3243,4275,5086,6819,8692,13014,18903,30132,42975,64766,92181,133937,213224,.,.,.,.,.,.
RUS,1965,1,short,1,1,1773,250,70,41,48,106,220,373,522,764,891,1190,1507,2028,1932,1831,1701,1246,1169,.,.,.,.,.,.
RUS,1965,1,short,1,2,109,126,95,81,106,111,157,293,561,1120,2081,3978,6331,10056,13296,15325,15739,13204,11095,.,.,.,.,.,.
RUS,1965,1,short,1,3,95,12,6,7,7,8,5,5,6,9,6,14,19,23,35,37,66,25,47,.,.,.,.,.,.
RUS,1965,1,short,1,4,70,11,4,5,6,4,7,9,13,19,18,25,46,49,93,91,113,71,134,.,.,.,.,.,.
RUS,1965,1,short,1,5,7,4,10,7,7,12,21,38,47,53,53,54,53,72,104,110,159,176,298,.,.,.,.,.,.
RUS,1965,1,short,1,6,353,70,41,41,53,68,71,76,75,108,110,127,141,159,204,299,379,475,706,.,.,.,.,.,.
RUS,1965,1,short,1,7,8,5,15,32,79,115,168,319,523,971,1478,2511,3963,7116,11248,20275,33503,55284,95728,.,.,.,.,.,.
RUS,1965,1,short,1,8,10,1,1,2,5,16,27,65,115,260,453,985,1835,3868,6796,12364,19483,31281,49672,.,.,.,.,.,.
RUS,1965,1,short,1,9,6,1,1,0,2,6,10,22,42,77,116,216,373,785,1398,3143,5839,11820,26424,.,.,.,.,.,.
RUS,1965,1,short,1,10,10777,478,53,27,25,23,26,44,72,131,208,314,524,765,1074,1562,2009,2643,3734,.,.,.,.,.,.
RUS,1965,1,short,1,11,102,17,5,6,7,21,26,53,99,200,362,637,1194,2197,3389,5453,7696,10740,14993,.,.,.,.,.,.
RUS,1965,1,short,1,12,2239,67,22,17,25,55,79,128,171,270,345,495,629,882,1216,1668,2007,2527,2935,.,.,.,.,.,.
RUS,1965,1,short,1,13,69,7,5,9,12,6,8,12,12,23,27,28,32,45,52,76,80,115,206,.,.,.,.,.,.
RUS,1965,1,short,1,14,20,12,9,12,26,45,43,61,73,96,113,140,166,287,440,824,1307,1976,2847,.,.,.,.,.,.
RUS,1965,1,short,1,15,23358,121,38,24,19,8,4,6,2,2,3,3,3,3,5,11,17,29,30,.,.,.,.,.,.
RUS,1965,1,short,1,16,927,528,530,427,1022,1873,2370,2773,2754,2716,2429,2296,2088,1797,1692,1699,2085,2324,3207,.,.,.,.,.,.
RUS,1966,1,short,1,0,38823,1624,948,737,1475,2384,3443,4357,5403,6838,9151,12949,19281,29714,44139,63045,92638,134724,210508,.,.,.,.,.,.
RUS,1966,1,short,1,1,1715,238,62,32,39,92,204,339,483,727,895,1065,1392,1814,1944,1769,1584,1279,1149,.,.,.,.,.,.
RUS,1966,1,short,1,2,113,130,97,75,108,119,160,273,583,1083,2045,3860,6278,9673,13204,15314,15550,13445,11646,.,.,.,.,.,.
RUS,1966,1,short,1,3,106,12,6,5,8,9,5,5,6,7,5,14,22,30,35,35,65,48,205,.,.,.,.,.,.
RUS,1966,1,short,1,4,64,15,3,4,4,7,7,9,11,20,24,26,39,56,69,69,78,56,109,.,.,.,.,.,.
RUS,1966,1,short,1,5,9,5,11,8,8,10,21,42,55,64,58,65,52,65,68,86,120,167,475,.,.,.,.,.,.
RUS,1966,1,short,1,6,385,61,41,38,56,53,55,60,63,95,95,108,136,149,177,205,259,303,606,.,.,.,.,.,.
RUS,1966,1,short,1,7,5,5,11,31,68,98,179,340,577,1003,1680,2528,4243,7315,11904,19456,33137,55356,95306,.,.,.,.,.,.
RUS,1966,1,short,1,8,10,2,1,2,8,20,37,74,129,251,514,978,1953,3828,7083,12202,20955,32895,51922,.,.,.,.,.,.
